date,revenue,orders,visitors,conversion_rate
2024-01-01,12450.75,156,4200,0.0371
2024-01-02,13280.00,162,4350,0.0372
2024-01-03,11920.50,148,4100,0.0361
2024-01-04,14560.25,179,4600,0.0389
2024-01-05,15890.10,195,4900,0.0398
2024-01-06,14230.80,171,4500,0.038
2024-01-07,13750.00,168,4450,0.0378
2024-01-08,16120.40,203,5100,0.0398
2024-01-09,17450.00,218,5400,0.0404
2024-01-10,16890.75,210,5250,0.04
2024-01-11,15640.20,194,5000,0.0388
2024-01-12,14920.50,184,4850,0.0379
2024-01-13,14310.00,177,4700,0.0377
2024-01-14,13780.25,170,4600,0.037
2024-01-15,17120.80,215,5300,0.0406
2024-01-16,18560.00,232,5700,0.0407
2024-01-17,19280.50,241,5900,0.0408
2024-01-18,17890.10,222,5500,0.0404
2024-01-19,16540.75,206,5150,0.04
2024-01-20,15820.00,197,5000,0.0394
2024-01-21,20350.40,254,6200,0.041
2024-01-22,21980.00,275,6700,0.041
2024-01-23,21450.50,268,6500,0.0412
2024-01-24,19870.25,247,6100,0.0405
2024-01-25,18460.80,229,5650,0.0405
2024-01-26,17230.00,214,5400,0.0396
2024-01-27,16680.50,208,5200,0.04
2024-01-28,22140.20,278,6800,0.0409
2024-01-29,24890.00,311,7500,0.0415
2024-01-30,23560.75,294,7200,0.0408
